,a,b,c,k,tau,std(x[-10%:]),x[-1],t/T
147,0.5,1.0,10.0,10.0,2,3.088319867566649e-07,0.5000001273171826,0.01648
148,0.5,1.0,10.0,10.0,3,2.9486410767763584e-07,0.5000000941742563,0.01877
149,0.5,1.0,10.0,10.0,4,2.913465372249964e-07,0.5000000263712695,0.02142
150,0.5,2.0,0.5,0.5,2,1.9030678879402728e-07,0.4999998049474135,0.02545
151,0.5,2.0,0.5,0.5,3,1.9033518826517733e-07,0.4999998047868057,0.02537
152,0.5,2.0,0.5,0.5,4,1.9060364366004424e-07,0.4999998058493813,0.0253
153,0.5,2.0,0.5,1.0,2,1.8003108590870075e-07,0.666666495696335,0.015460000000000002
154,0.5,2.0,0.5,1.0,3,1.8142073156541252e-07,0.666666495683625,0.01532
155,0.5,2.0,0.5,1.0,4,1.8005224938127354e-07,0.6666664961941522,0.015179999999999999
156,0.5,2.0,0.5,2.0,2,2.054646339084131e-07,0.7999999247021415,0.00818
157,0.5,2.0,0.5,2.0,3,1.4792491879472918e-07,0.8000000063212579,0.00836
158,0.5,2.0,0.5,2.0,4,1.119727206336898e-07,0.8000000602321768,0.00843
159,0.5,2.0,0.5,5.0,2,3.1170833826672097e-07,0.9090909646088193,0.00797
160,0.5,2.0,0.5,5.0,3,4.6021682200621186e-07,0.9090910911424483,0.00802
161,0.5,2.0,0.5,5.0,4,1.048336897553439e-07,0.9090909505157144,0.00871
162,0.5,2.0,0.5,10.0,2,2.640985406835555e-07,0.952381089168954,0.00836
163,0.5,2.0,0.5,10.0,3,1.8685035757876904e-07,0.9523809499391276,0.00872
164,0.5,2.0,0.5,10.0,4,1.8306537241281943e-07,0.9523809659030791,0.00942
165,0.5,2.0,1.0,0.5,2,1.9381155790442406e-07,0.33333312762130407,0.01466
166,0.5,2.0,1.0,0.5,3,1.9373377966341786e-07,0.33333312967726403,0.01461
167,0.5,2.0,1.0,0.5,4,1.929497715069171e-07,0.333333129881924,0.01455
168,0.5,2.0,1.0,1.0,2,1.5383768747647253e-07,0.4999998891950006,0.00886
169,0.5,2.0,1.0,1.0,3,1.4227874516790668e-07,0.4999999203600691,0.00861
170,0.5,2.0,1.0,1.0,4,1.1607795564607365e-07,0.4999999823367669,0.008320000000000001
171,0.5,2.0,1.0,2.0,2,3.2177001880331044e-07,0.6666671878772873,0.00738
172,0.5,2.0,1.0,2.0,3,4.7182960110243555e-07,0.6666673122821869,0.00733
173,0.5,2.0,1.0,2.0,4,6.578938425336577e-07,0.6666673742213238,0.00732
174,0.5,2.0,1.0,5.0,2,4.857206565041465e-07,0.8333335953679725,0.0077
175,0.5,2.0,1.0,5.0,3,1.596036609448532e-07,0.8333333309155312,0.00838
176,0.5,2.0,1.0,5.0,4,2.7366452595762795e-07,0.8333332324721279,0.00852
177,0.5,2.0,1.0,10.0,2,2.437491082760508e-07,0.9090910117034001,0.00835
178,0.5,2.0,1.0,10.0,3,2.1240525903103456e-07,0.9090908047382686,0.0086
179,0.5,2.0,1.0,10.0,4,1.7885301361856515e-07,0.909091001531745,0.00928
180,0.5,2.0,2.0,0.5,2,9.136791445905817e-08,0.19999947491909054,0.0067800000000000004
181,0.5,2.0,2.0,0.5,3,1.1675201104461717e-07,0.1999994132547125,0.0067599999999999995
182,0.5,2.0,2.0,0.5,4,1.4301746737107626e-07,0.19999933583399945,0.006730000000000001
183,0.5,2.0,2.0,1.0,2,9.982044802350612e-08,0.33333368384317,0.00721
184,0.5,2.0,2.0,1.0,3,1.3710417000766453e-07,0.33333371763701597,0.00721
185,0.5,2.0,2.0,1.0,4,1.7813824101129715e-07,0.33333376094949285,0.0072
186,0.5,2.0,2.0,2.0,2,5.243446632402588e-07,0.4999997103383932,0.00713
187,0.5,2.0,2.0,2.0,3,6.343410656289041e-07,0.4999997806277425,0.0071600000000000006
188,0.5,2.0,2.0,2.0,4,8.35550731921165e-08,0.5000001465329009,0.00797
189,0.5,2.0,2.0,5.0,2,3.3112104804533337e-07,0.7142855614380071,0.007850000000000001
190,0.5,2.0,2.0,5.0,3,4.086939554513607e-07,0.7142854604939782,0.007930000000000001
191,0.5,2.0,2.0,5.0,4,1.7489838209922453e-07,0.7142857549393142,0.00852
192,0.5,2.0,2.0,10.0,2,1.959776934996865e-07,0.8333333298882408,0.00812
193,0.5,2.0,2.0,10.0,3,1.8624141590709322e-07,0.8333333399505807,0.00876
194,0.5,2.0,2.0,10.0,4,2.9855042925061477e-07,0.8333334071117077,0.00928
195,0.5,2.0,5.0,0.5,2,1.5818334455241163e-07,0.09090927542623667,0.00651
196,0.5,2.0,5.0,0.5,3,1.6894717606815716e-07,0.09090927617686387,0.006520000000000001
197,0.5,2.0,5.0,0.5,4,1.8026567183549472e-07,0.09090927700401073,0.00653
198,0.5,2.0,5.0,1.0,2,8.729220725019782e-08,0.1666664854225195,0.007
199,0.5,2.0,5.0,1.0,3,6.382645325496737e-08,0.16666650473249425,0.00706
200,0.5,2.0,5.0,1.0,4,6.810396864268458e-08,0.16666652223819053,0.00711
201,0.5,2.0,5.0,2.0,2,5.287251138877338e-07,0.285714601267183,0.0069299999999999995
202,0.5,2.0,5.0,2.0,3,9.501226324829162e-08,0.2857143624462825,0.00745
203,0.5,2.0,5.0,2.0,4,1.5325539355172886e-07,0.28571430298767286,0.007549999999999999
204,0.5,2.0,5.0,5.0,2,2.44078697517065e-07,0.499999880243253,0.0077800000000000005
205,0.5,2.0,5.0,5.0,3,2.883441936965235e-07,0.49999983951629884,0.00796
206,0.5,2.0,5.0,5.0,4,2.6936332801329585e-07,0.4999998597040365,0.00808
207,0.5,2.0,5.0,10.0,2,2.712297680181266e-07,0.6666668499984947,0.00795
208,0.5,2.0,5.0,10.0,3,2.1334587353332225e-07,0.6666665121305229,0.00853
209,0.5,2.0,5.0,10.0,4,1.9978280626268662e-07,0.6666668133331265,0.00916
210,0.5,2.0,10.0,0.5,2,4.208137531770704e-07,0.0476188181781663,0.006030000000000001
211,0.5,2.0,10.0,0.5,3,4.2857087694282325e-07,0.04761880251075609,0.00605
212,0.5,2.0,10.0,0.5,4,4.357603258888674e-07,0.047618787190906064,0.00607
213,0.5,2.0,10.0,1.0,2,2.883357698810703e-07,0.09090923124144548,0.00658
214,0.5,2.0,10.0,1.0,3,3.1010776835985127e-07,0.09090925689094614,0.00662
215,0.5,2.0,10.0,1.0,4,3.2779439213819125e-07,0.09090927765089742,0.0066500000000000005
216,0.5,2.0,10.0,2.0,2,2.775060280948859e-07,0.16666651637958832,0.00698
217,0.5,2.0,10.0,2.0,3,3.0785222895572837e-07,0.16666648380885893,0.00707
218,0.5,2.0,10.0,2.0,4,3.2907784913899314e-07,0.1666664675399768,0.00713
219,0.5,2.0,10.0,5.0,2,2.5616874579987587e-07,0.33333318735264916,0.00727
220,0.5,2.0,10.0,5.0,3,2.438893744720285e-07,0.33333329572092374,0.00771
221,0.5,2.0,10.0,5.0,4,1.9844553766289422e-07,0.33333343849855057,0.007850000000000001
222,0.5,2.0,10.0,10.0,2,2.4649474956212696e-07,0.5000001642583832,0.00791
223,0.5,2.0,10.0,10.0,3,2.2021018833807415e-07,0.4999998492936857,0.00842
224,0.5,2.0,10.0,10.0,4,3.581414233134042e-07,0.5000001493416433,0.00876
225,0.5,5.0,0.5,0.5,2,1.9496586547068982e-07,0.4999997955304716,0.07210000000000001
226,0.5,5.0,0.5,0.5,3,1.950315783091003e-07,0.4999997953305604,0.07203
227,0.5,5.0,0.5,0.5,4,1.946931877666956e-07,0.499999795555372,0.07196999999999999
228,0.5,5.0,0.5,1.0,2,1.8965586394629043e-07,0.6666664768474214,0.04871
229,0.5,5.0,0.5,1.0,3,1.8945123428301345e-07,0.6666664770854343,0.048620000000000003
230,0.5,5.0,0.5,1.0,4,1.8922969125488455e-07,0.6666664773430245,0.048530000000000004
231,0.5,5.0,0.5,2.0,2,1.8505573682941843e-07,0.7999998207103703,0.02901
232,0.5,5.0,0.5,2.0,3,1.8516744199430534e-07,0.7999998197786911,0.02888
233,0.5,5.0,0.5,2.0,4,1.8447651812675884e-07,0.7999998208319029,0.02877
234,0.5,5.0,0.5,5.0,2,1.809122297455754e-07,0.9090907398452861,0.0123
235,0.5,5.0,0.5,5.0,3,1.7850531966560938e-07,0.9090907413056065,0.012150000000000001
236,0.5,5.0,0.5,5.0,4,1.7835371610372023e-07,0.9090907434340403,0.012
237,0.5,5.0,0.5,10.0,2,1.662098839008219e-07,0.9523808040484346,0.00518
238,0.5,5.0,0.5,10.0,3,1.6841053326992974e-07,0.9523808098053353,0.00491
239,0.5,5.0,0.5,10.0,4,1.5773672024639463e-07,0.9523808264138449,0.004600000000000001
240,0.5,5.0,1.0,0.5,2,2.0184791753449715e-07,0.3333331071687372,0.04596
241,0.5,5.0,1.0,0.5,3,2.0230938129064233e-07,0.33333310709910957,0.04592
242,0.5,5.0,1.0,0.5,4,2.0195108131482797e-07,0.33333310703952984,0.045880000000000004
243,0.5,5.0,1.0,1.0,2,1.9424755557832644e-07,0.49999979687908924,0.03531
244,0.5,5.0,1.0,1.0,3,1.9343400730622415e-07,0.4999997974880577,0.03525
245,0.5,5.0,1.0,1.0,4,1.9422329971772294e-07,0.4999997964213225,0.03517
246,0.5,5.0,1.0,2.0,2,1.8721127938953767e-07,0.6666664796035856,0.023559999999999998
247,0.5,5.0,1.0,2.0,3,1.8753417377884437e-07,0.6666664794229039,0.02346
248,0.5,5.0,1.0,2.0,4,1.8778251368165367e-07,0.6666664793305911,0.02336
249,0.5,5.0,1.0,5.0,2,1.830202755692029e-07,0.8333331591553309,0.01103
250,0.5,5.0,1.0,5.0,3,1.809774359969713e-07,0.8333331628957138,0.0109
251,0.5,5.0,1.0,5.0,4,1.801800445349256e-07,0.8333331625116985,0.01075
252,0.5,5.0,1.0,10.0,2,1.6505667173724055e-07,0.9090907655766085,0.00475
253,0.5,5.0,1.0,10.0,3,1.5594146325610332e-07,0.9090907791890853,0.0044599999999999996
254,0.5,5.0,1.0,10.0,4,1.3954435279606692e-07,0.9090908116930633,0.00406
255,0.5,5.0,2.0,0.5,2,2.112260315522257e-07,0.19999974401686765,0.025810000000000003
256,0.5,5.0,2.0,0.5,3,2.1142599286246398e-07,0.19999974249919134,0.02578
257,0.5,5.0,2.0,0.5,4,2.1085549641371047e-07,0.19999974371826587,0.02577
258,0.5,5.0,2.0,1.0,2,1.9994637365675442e-07,0.3333331100856695,0.022260000000000002
259,0.5,5.0,2.0,1.0,3,2.0066569321117215e-07,0.3333331102409721,0.02222
260,0.5,5.0,2.0,1.0,4,2.0097411660842655e-07,0.3333331090001924,0.022170000000000002
261,0.5,5.0,2.0,2.0,2,1.9156593061103254e-07,0.49999980014390144,0.01686
262,0.5,5.0,2.0,2.0,3,1.9255648200734128e-07,0.4999997987236409,0.01678
263,0.5,5.0,2.0,2.0,4,1.921958065591349e-07,0.4999998009927672,0.01672
264,0.5,5.0,2.0,5.0,2,1.8189811642275012e-07,0.714285537159217,0.00906
265,0.5,5.0,2.0,5.0,3,1.8406323147214372e-07,0.714285536694879,0.00893
266,0.5,5.0,2.0,5.0,4,1.8207613063934078e-07,0.7142855404260392,0.00881
267,0.5,5.0,2.0,10.0,2,1.4505820801801442e-07,0.8333332241594897,0.00387
268,0.5,5.0,2.0,10.0,3,2.6999684815135293e-08,0.8333335745282163,0.0033200000000000005
269,0.5,5.0,2.0,10.0,4,1.5888785585736703e-07,0.8333334220102667,0.00367
270,0.5,5.0,5.0,0.5,2,2.2266800042434746e-07,0.09090878486819601,0.010150000000000001
271,0.5,5.0,5.0,0.5,3,2.2223285051862333e-07,0.09090878618954971,0.010150000000000001
272,0.5,5.0,5.0,0.5,4,2.2175821577295108e-07,0.09090878757138152,0.010150000000000001
273,0.5,5.0,5.0,1.0,2,2.1290337223391716e-07,0.16666640507593602,0.009710000000000002
274,0.5,5.0,5.0,1.0,3,2.1198749060717853e-07,0.16666640752773582,0.0097
275,0.5,5.0,5.0,1.0,4,2.1000973417535456e-07,0.16666640647396425,0.00968
276,0.5,5.0,5.0,2.0,2,1.9907812431312924e-07,0.285714061112055,0.00846
277,0.5,5.0,5.0,2.0,3,2.0113258642368404e-07,0.28571406139429795,0.00842
278,0.5,5.0,5.0,2.0,4,1.9849005440063108e-07,0.28571406205661554,0.00838
279,0.5,5.0,5.0,5.0,2,1.820264865557613e-07,0.4999998192215846,0.00545
280,0.5,5.0,5.0,5.0,3,1.7732735680960373e-07,0.49999982606157517,0.005350000000000001
281,0.5,5.0,5.0,5.0,4,1.7951554460676768e-07,0.49999982684047095,0.00523
282,0.5,5.0,5.0,10.0,2,3.9472450867143145e-07,0.6666656795350107,0.00292
283,0.5,5.0,5.0,10.0,3,1.5362590550674482e-07,0.6666666661471021,0.0034
284,0.5,5.0,5.0,10.0,4,6.352400207901866e-08,0.6666667798430956,0.00346
285,0.5,5.0,10.0,0.5,2,2.2059690174564372e-07,0.047618724366042406,0.00417
286,0.5,5.0,10.0,0.5,3,2.2188856671694287e-07,0.04761872392932138,0.00417
287,0.5,5.0,10.0,0.5,4,2.230272936203224e-07,0.04761872378217793,0.00417
288,0.5,5.0,10.0,1.0,2,2.1034822431541285e-07,0.09090882673896608,0.00411
289,0.5,5.0,10.0,1.0,3,2.115916246959947e-07,0.0909088280983732,0.0040999999999999995
290,0.5,5.0,10.0,1.0,4,2.0538756082722482e-07,0.09090883876926051,0.0040999999999999995
291,0.5,5.0,10.0,2.0,2,1.8155256599355127e-07,0.16666647122141443,0.00366
292,0.5,5.0,10.0,2.0,3,1.890385114488568e-07,0.16666647230721512,0.00361
293,0.5,5.0,10.0,2.0,4,1.7522969332844186e-07,0.16666648696838365,0.0035700000000000003
294,0.5,5.0,10.0,5.0,2,5.805761416689878e-08,0.3333329445958496,0.0029100000000000003
295,0.5,5.0,10.0,5.0,3,1.8198366315015696e-07,0.3333326966025741,0.00287
296,0.5,5.0,10.0,5.0,4,3.841322986328212e-07,0.333332254335458,0.00281
297,0.5,5.0,10.0,10.0,2,1.1875574309631532e-07,0.49999989660581273,0.00318
